company_name,member_id,profile_url,source,scraped_date
KS Flow Control Pte Ltd,1395254,https://speta.org/membership-directory/corporate/1395254#page-member-ajax,SPETA Corporate Directory,2026-01-14
KY Sub-Assembly Engineering Pte Ltd,2872208,https://speta.org/membership-directory/corporate/2872208#page-member-ajax,SPETA Corporate Directory,2026-01-14
LE-PLUS SOLUTIONS PTE. LTD.,1959932,https://speta.org/membership-directory/corporate/1959932#page-member-ajax,SPETA Corporate Directory,2026-01-14
LFC PTE. LTD.,1825191,https://speta.org/membership-directory/corporate/1825191#page-member-ajax,SPETA Corporate Directory,2026-01-14
Lingjack Engineering Works Pte Ltd,1395256,https://speta.org/membership-directory/corporate/1395256#page-member-ajax,SPETA Corporate Directory,2026-01-14
LKH Precicon Pte Ltd,1395258,https://speta.org/membership-directory/corporate/1395258#page-member-ajax,SPETA Corporate Directory,2026-01-14
M&D PRECISION TECHNOLOGY PTE LTD,1395259,https://speta.org/membership-directory/corporate/1395259#page-member-ajax,SPETA Corporate Directory,2026-01-14
MAGMA ENGINEERING ASIA-PACIFIC PTE LTD,1395260,https://speta.org/membership-directory/corporate/1395260#page-member-ajax,SPETA Corporate Directory,2026-01-14
MAGNA PRECISION ENGINEERING (S) PTE LTD,1395261,https://speta.org/membership-directory/corporate/1395261#page-member-ajax,SPETA Corporate Directory,2026-01-14
MAHA CHEMICALS (ASIA) PTE LTD,1401288,https://speta.org/membership-directory/corporate/1401288#page-member-ajax,SPETA Corporate Directory,2026-01-14
Makino Asia Pte Ltd,1395262,https://speta.org/membership-directory/corporate/1395262#page-member-ajax,SPETA Corporate Directory,2026-01-14
Mapletree Facilities Services Pte Ltd,1401264,https://speta.org/membership-directory/corporate/1401264#page-member-ajax,SPETA Corporate Directory,2026-01-14
Masterseals Int Pte Ltd,1395264,https://speta.org/membership-directory/corporate/1395264#page-member-ajax,SPETA Corporate Directory,2026-01-14
Maybank Singapore,2931963,https://speta.org/membership-directory/corporate/2931963#page-member-ajax,SPETA Corporate Directory,2026-01-14
MCKINSEY & CO,1401266,https://speta.org/membership-directory/corporate/1401266#page-member-ajax,SPETA Corporate Directory,2026-01-14
MDA CONSULTANCY PTE LTD,3024640,https://speta.org/membership-directory/corporate/3024640#page-member-ajax,SPETA Corporate Directory,2026-01-14
MegaNet Pte Ltd,1504194,https://speta.org/membership-directory/corporate/1504194#page-member-ajax,SPETA Corporate Directory,2026-01-14
Megapac Manufacturing Pte Ltd,1440043,https://speta.org/membership-directory/corporate/1440043#page-member-ajax,SPETA Corporate Directory,2026-01-14
Meiban Technology Pte Ltd,1395265,https://speta.org/membership-directory/corporate/1395265#page-member-ajax,SPETA Corporate Directory,2026-01-14
MERIDIONALE IMPIANTI SINGAPORE PTE LTD,2043952,https://speta.org/membership-directory/corporate/2043952#page-member-ajax,SPETA Corporate Directory,2026-01-14
Messe Düsseldorf Asia Pte Ltd,2524371,https://speta.org/membership-directory/corporate/2524371#page-member-ajax,SPETA Corporate Directory,2026-01-14
Metalcool Pte Ltd,1395267,https://speta.org/membership-directory/corporate/1395267#page-member-ajax,SPETA Corporate Directory,2026-01-14
Micro-Mechanics Pte Ltd,1420384,https://speta.org/membership-directory/corporate/1420384#page-member-ajax,SPETA Corporate Directory,2026-01-14
Mieux Pte Ltd,2410888,https://speta.org/membership-directory/corporate/2410888#page-member-ajax,SPETA Corporate Directory,2026-01-14
MITSUBISHI ELECTRIC ASIA PTE LTD,1395270,https://speta.org/membership-directory/corporate/1395270#page-member-ajax,SPETA Corporate Directory,2026-01-14
Mitutoyo Asia Pacific Pte Ltd,1395271,https://speta.org/membership-directory/corporate/1395271#page-member-ajax,SPETA Corporate Directory,2026-01-14
ML Tech Pte Ltd,1395272,https://speta.org/membership-directory/corporate/1395272#page-member-ajax,SPETA Corporate Directory,2026-01-14
MMI HOLDINGS LIMITED,1395273,https://speta.org/membership-directory/corporate/1395273#page-member-ajax,SPETA Corporate Directory,2026-01-14
MOLYWORKS MATERIALS PTE LTD,1395274,https://speta.org/membership-directory/corporate/1395274#page-member-ajax,SPETA Corporate Directory,2026-01-14
